NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
AMF_US-Br1,201001,41.9749,-93.6906,24.59478974,1,10.7813,35.3761,CRO,2.28124528,390.8075562,-6.899202824,12,-506,-367,-0.006495357,4.70E-05,0.036114102,0.002475485,242.635584,2.039098,-10.82786325,3.212228394,0.003690582,-0.066037868,0.001042026,0.062519886,-4.567802113,-20.19261443,181,26,2.059999943,6.199999809,28,46,1.940000057
AMF_US-Br3,201001,41.9747,-93.6936,1.483019601,1,4.3065,5.7896,CRO,0.344367723,390.8075562,-6.899202824,12,-506,-367,-0.006495357,4.70E-05,0.036114102,0.002475485,242.635584,2.039098,-10.82786325,3.212228394,0.003690582,-0.066037868,0.001042026,0.062519886,-4.567802113,-20.19261443,181,26,2.059999943,6.199999809,28,46,1.940000057
FLX_US-Ne3,200402,41.1797,-96.4397,15.05419,0.935345,-0.5911737,13.753598,CRO,-25.46491835,379.8388977,-18.09510231,12,-440,-303,-0.006872475,2.33E-05,0.036172911,0.002679482,356.197898,2.488376,-5.36096326,13.19909058,0.003972701,-0.027745051,0.00650292,0.055445667,-2.435547141,-16.52451964,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-Ne1,200402,41.1651,-96.4766,19.795603,0.83908,-1.6345241,17.986873,CRO,-12.11092758,379.8388977,-18.09510231,12,-431.5,-301,-0.006900133,2.24E-05,0.036677852,0.002760082,357.909664,2.488862,-5.388635337,13.24401245,0.004996226,-0.027359252,0.006401813,0.053827752,-2.490147423,-16.55086313,184,27,2.14199996,6.199999809,16,57,2.019999981
FLX_US-Ne2,200402,41.1649,-96.4701,16.753445,0.949713,-1.6159264,15.478721,CRO,-10.36770301,379.8388977,-18.09510231,12,-427,-330,-0.006900133,2.24E-05,0.036677852,0.002760082,357.909664,2.488862,-5.388635337,13.24401245,0.004996226,-0.027359252,0.006401813,0.053827752,-2.490147423,-16.55086313,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-Ro1,200512,44.7143,-93.0898,10.80319,0.890457,-1.8342452,8.975523,CRO,-5.889719651,383.4321594,-15.67575359,12,-377.5,-120,-0.003428839,1.33E-05,0.0378419,0.00167139,155.355212,1.4333,-7.908140072,3.607629395,-0.009920709,-0.027275764,0.002951508,0.05848888,-2.357041357,-16.30934828,139,23,3.227999926,6.599999905,33,44,2.630000114
AMF_CA-ER1,202002,43.6405,-80.4123,17.127168,0.970546,-2.7419848,14.220179,CRO,-6.246266573,414.6394653,16.16965675,12,-375,-368,-0.013376785,2.14E-05,0.063509095,0.001298172,272.937886,2.325734,-4.637039149,6.203134155,-0.003550922,-0.021254226,-0.003019271,0.038148653,1.427038033,-13.07116696,161,15,1.920999885,6,40,45,1.450000048
FLX_DE-Geb,201012,51.0997,10.9146,12.110212,0.980511,-1.6549195,10.413644,CRO,-7.317704577,393.2080383,-6.296942234,12,-367.5,-345,-0.003479859,3.23E-05,0.093175296,0.001455963,76.245764,0.927138,-4.885818248,3.87041626,0.036291943,0.022602038,0.006543464,0.043629486,-6.832268392,-12.3909306,139,23,3.227999926,6.599999905,33,44,2.630000114
FLX_FI-Jok,200201,60.8986,23.5134,9.232916,0.817204,-0.8954164,8.283355,CRO,-10.31130991,373.374176,-24.56500435,8,-364.5,-256,0.00111343,2.77E-05,0.074087062,0.001506768,27.35132,0.565392,-5.317608507,1.963037109,0.019790372,0.025648923,0.002964611,0.040351348,0.061631215,-10.08801155,118,6,7.217000008,4.699999809,54,40,4
FLX_US-Ne2,200501,41.1649,-96.4701,23.67129,0.962366,-4.619155,18.462701,CRO,-5.124593134,381.1669312,-16.21491432,12,-347.5,-146,-0.006722184,5.51E-05,0.031838883,0.001343548,234.623416,1.942172,-6.729460903,15.48531494,0.003450567,-0.030509768,0.001970814,0.053029776,-2.69351473,-18.6649051,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-Ro1,200601,44.7143,-93.0898,18.269664,0.965054,0.5748113,18.466514,CRO,31.7837593,384.2418213,-13.55685902,12,-346,-318,-0.014862885,2.09E-05,0.020134793,0.000719249,175.772738,1.68264,-1.985711695,8.873071289,-0.007497454,-0.039344681,-0.008459592,0.044061086,6.872046059,-11.04537971,139,23,3.227999926,6.599999905,33,44,2.630000114
AMF_US-Ro6,202002,44.6946,-93.0578,3.854187,0.943966,1.3275417,5.310509,CRO,2.903251175,414.4684753,16.26557541,12,-332.5,-90,-0.008900879,1.56E-05,0.018049616,0.002120838,345.851624,2.463206,-7.69097739,6.116189575,-0.016344182,-0.049638043,0.000450013,0.057256378,0.030542684,-15.84973152,139,23,3.227999926,6.599999905,33,44,2.630000114
FLX_US-Ne3,200801,41.1797,-96.4397,15.393515,0.969086,-3.052198,11.913052,CRO,-5.043419529,387.7401123,-9.641734123,12,-330,-236,-0.01042344,3.49E-05,0.013689874,0.000537708,270.17792,2.000786,-5.704053583,15.3507782,-0.01498437,-0.053414514,-0.001589478,0.051436035,-1.625428085,-15.74169546,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-CS3,202002,44.1394,-89.5727,15.439252,0.964799,0.3399931,15.990687,CRO,45.41048627,414.5081177,16.21203423,12,-327.5,-182,-0.01154143,2.17E-05,0.027682814,0.002335921,333.661124,2.517262,-6.685370575,7.910165405,-0.012375316,-0.054583675,-0.001048136,0.053765445,0.287656937,-14.90098611,116,17,1.386999965,7,50,33,1.370000005
AMF_US-IB1,201502,41.8593,-88.2227,13.86081161,0.9375,2.4303,16.2912,CRO,5.703333583,401.0426636,2.512844086,13,-322.5,-66,-0.010677922,1.93E-05,0.041438548,0.001526475,323.946802,2.638526,-10.62249685,4.087304688,-0.014233889,-0.053446634,0.003169739,0.055024824,-7.239215539,-20.38015152,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-Ro1,200402,44.7143,-93.0898,0.013243372,0.865661,3.431889,2.941267,CRO,0.003858916,380.1751404,-18.02775955,12,-320.5,-248,-0.005455228,1.63E-05,0.050923466,0.001231026,293.176726,2.210312,-6.405798143,7.507775879,0.016529669,-0.011893608,0.003895665,0.053833222,1.315721931,-14.07227826,139,23,3.227999926,6.599999905,33,44,2.630000114
FLX_US-Ne3,200712,41.1797,-96.4397,16.410997,0.951613,-3.880735,16.176482,CRO,-4.228837321,386.7835999,-11.97567368,12,-320.5,-301,-0.005491204,6.30E-05,0.062459293,0.002939202,207.729068,1.695,-5.809212523,13.75922546,0.021379126,-0.012254311,0.004421214,0.060411899,-4.243770546,-17.10291634,184,27,2.14199996,6.199999809,16,57,2.019999981
FLX_US-Ne3,200501,41.1797,-96.4397,11.863545,0.94086,-1.8408358,9.481474,CRO,-6.444651392,381.1669312,-16.21491432,12,-310,-281,-0.006881543,5.72E-05,0.032267411,0.001362354,234.029276,1.941184,-6.774485159,15.34859619,0.003593167,-0.029602356,0.001952419,0.054480851,-2.695859661,-18.7260372,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-Ro1,201302,44.7143,-93.0898,-4.923436,0.974702,4.730292,0.2811872,CRO,-1.040831306,398.4328613,0.229961395,12,-309,-263,-0.010478221,1.47E-05,0.038371266,0.002845854,271.150224,2.30621,-8.434984611,2.244592285,0.003977469,-0.03715024,-0.001127329,0.044534304,-0.713464537,-14.80036361,139,23,3.227999926,6.599999905,33,44,2.630000114
AMF_US-Ne1,200712,41.1651,-96.4766,46.87758,0.842742,3.529815,50.3719,CRO,13.28046371,386.7835999,-11.97567368,12,-305.5,-284,-0.005319051,5.72E-05,0.062479909,0.002875246,209.952432,1.696636,-5.773027207,13.82509766,0.021709651,-0.012571381,0.003942598,0.059290989,-4.215386027,-17.06436206,184,27,2.14199996,6.199999809,16,57,2.019999981
FLX_US-Ne2,200801,41.1649,-96.4701,16.305535,0.969086,-2.6801732,12.855204,CRO,-6.083761676,387.7401123,-9.641734123,12,-304,-193,-0.010515254,3.12E-05,0.013795896,0.000541627,271.632632,2.00338,-5.691899056,15.12030945,-0.01459242,-0.052708009,-0.001822256,0.049934615,-1.655952883,-15.72573688,184,27,2.14199996,6.199999809,16,57,2.019999981
FLX_US-Ne2,200712,41.1649,-96.4701,22.590165,0.96371,0.5071662,22.097637,CRO,44.54193714,386.7835999,-11.97567368,12,-300.5,-264,-0.005319051,5.72E-05,0.062479909,0.002875246,209.952432,1.696636,-5.773027207,13.82509766,0.021709651,-0.012571381,0.003942598,0.059290989,-4.215386027,-17.06436206,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-Br1,201002,41.9749,-93.6906,1.552576638,1,1.3865,2.9391,CRO,1.119781203,392.0245056,-6.078079224,12,-277.5,-277,-0.006296965,1.19E-05,0.032006388,0.000911415,329.509228,2.690708,-8.889324502,0.148614502,-0.007306244,-0.070145582,0.005308442,0.062718277,-3.817798566,-18.25407567,181,26,2.059999943,6.199999809,28,46,1.940000057
AMF_US-Br3,201002,41.9747,-93.6936,0.459780865,1,1.745,2.2048,CRO,0.263484736,392.0245056,-6.078079224,12,-277.5,-277,-0.006296965,1.19E-05,0.032006388,0.000911415,329.509228,2.690708,-8.889324502,0.148614502,-0.007306244,-0.070145582,0.005308442,0.062718277,-3.817798566,-18.25407567,181,26,2.059999943,6.199999809,28,46,1.940000057
AMF_US-Ro1,201012,44.7143,-93.0898,6.20558,0.933468,-0.8076895,5.64169,CRO,-7.683125756,392.63797,-6.46994257,12,-274.5,-227,-0.003164291,7.36E-05,0.07817622,0.002330149,158.950648,1.476284,-9.409786032,6.681634521,0.030413611,-0.007931096,0.003216056,0.064559499,-3.858687317,-17.49280281,139,23,3.227999926,6.599999905,33,44,2.630000114
AMF_US-Ne1,201002,41.1651,-96.4766,20.353256,0.846726,-0.3851652,19.178656,CRO,-52.84292558,391.9455261,-5.988473415,12,-273,-238,-0.011591363,1.51E-05,0.026908731,0.000657871,320.90471,2.650852,-6.924524348,1.642785645,-0.004772895,-0.051203261,0.001710583,0.058851733,-4.026036434,-17.62892137,184,27,2.14199996,6.199999809,16,57,2.019999981
AMF_US-Ro1,200801,44.7143,-93.0898,0.9395697,0.932796,3.744056,4.806054,CRO,0.250949692,388.1541138,-9.644566536,12,-257.5,-212,-0.00334409,3.19E-05,0.013756721,0.000380203,210.421524,1.849778,-10.97779035,5.408883667,-0.013875526,-0.059521617,0.003059203,0.057326776,-2.120032599,-17.44168551,139,23,3.227999926,6.599999905,33,44,2.630000114
