NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
FLX_NO-Blv,200806,78.9216,11.8311,-1.830948,0.988889,8.6616,6.22965,BSV,-0.211386811,388.1568909,-10.03266525,16,-841.5,-702,-0.002558693,1.13E-05,0.028690134,0.000778809,745.65228,2.132556,-0.020691215,4.239373779,-0.003328922,-0.02423309,-0.001276922,-0.003592608,-0.694571046,6.927473884,0,0,0,0,0,0,0
FLX_RU-Tks,201202,71.5943,128.8878,-4.339589,0.820402,4.667753,0.318391,GRA,-0.929695509,396.3389893,-2.554083586,7,-739.5,-296,0.000196439,5.64E-06,0.011555744,0.000213485,25.391074,0.447539,-29.02924181,-16.27214661,0.002171194,-0.012397623,1.65E-06,0.016206527,2.626282003,-17.79504211,35,12,12.947001,6.1,31,57,4.75
FLX_NO-Blv,200805,78.9216,11.8311,-0.3244646,0.978495,4.513662,4.067603,BSV,-0.071885002,389.5474548,-9.847523689,16,-707,-229,-0.001207539,8.65E-06,0.026847096,0.000352653,583.609828,1.877542,-4.182851886,0.115823364,-0.015716131,-0.026076128,0.000831976,-0.002241453,-0.291402328,2.765313213,0,0,0,0,0,0,0
FLX_IT-Tor,201303,45.8444,7.5781,50.37717,0.741935,-9.089169,39.37496,GRA,-5.542549599,398.4200745,0.150770828,10,-559,-492,-0.00038136,1.89E-05,0.095929786,0.001343325,460.6115579,3.085182,-3.05404771,5.188943481,-0.002343912,-0.026734234,0.000764465,0.026517359,-2.233567575,-7.075457337,10,16,2.713999987,6.699999809,53,31,1.5
FLX_RU-Tks,201110,71.5943,128.8878,21.042397,0.850134,10.255327,20.5592,GRA,2.051850419,391.1477661,-4.913524628,7,-545,-545,-0.000670971,1.67E-05,0.029970821,0.000639813,51.43598789,0.654893,-9.740123679,2.547906494,0.005511864,0.001939549,0.001279188,0.015108595,0.337629303,1.565935645,35,12,12.947001,6.1,31,57,4.75
FLX_CN-HaM,200205,37.37,101.18,27.189728,0.821237,25.519758,50.38957,GRA,1.065438316,374.549408,-23.88671112,10,-536,-486,-0.035172571,1.39E-05,0.091462505,0.001903623,757.915814,3.868993,-0.19829376,13.14850769,-0.001770108,0.025955511,0.002455226,0.001946965,-0.9010547,4.452638679,34,14,2.384000063,6.900000095,50,36,3.609999895
FLX_RU-Tks,201205,71.5943,128.8878,9.038639,0.740591,-0.09978652,8.952707,GRA,-90.57975967,397.600708,-2.305455446,7,-515,-272,-0.014172825,4.08E-05,0.052145594,0.00154385,588.675414,2.460672,-1.244602236,18.65256653,0.019950565,0.028192227,-0.001246198,0.001837263,2.62007028,9.989597464,35,12,12.947001,6.1,31,57,4.75
FLX_RU-Tks,201010,71.5943,128.8878,28.090805,0.967742,-16.758786,10.890641,GRA,-1.676183764,389.0709839,-6.990306854,7,-489,-489,-0.000571419,1.20E-05,0.011075971,0.000342868,56.61189457,0.841952,-11.51444783,1.565240479,-0.013382986,-0.01450512,0.001378741,0.017060961,-1.436694848,-0.482206226,35,12,12.947001,6.1,31,57,4.75
FLX_RU-Sam,201002,72.3738,126.4958,3.19004,0.859375,40.33876,43.71612,GRA,0.079081261,391.8085327,-7.122486115,16,-488.5,-212,0.000643752,4.64E-06,0.010062298,0.000161037,25.072572,0.536519,-32.24559252,-18.76328125,-0.00029348,-0.016495038,0.000644,5.00E-06,-0.207859012,-21.16807941,22,10,0.605000019,7.699999809,69,21,0.74000001
FLX_NO-Blv,200804,78.9216,11.8311,-1.911051,0.991667,2.580966,1.046793,BSV,-0.740440207,389.5712585,-9.810284615,16,-479,-272,0.000538899,1.60E-05,0.033158222,0.000561446,338.4495,1.598326,-12.15050473,-4.097235107,-0.015476498,-0.019765002,0.000703993,-0.000495016,-2.42743825,-5.202339628,0,0,0,0,0,0,0
