NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
AMF_US-ICs,201111,68.6058,-149.311,18.08412,0.855556,-10.83147,7.28559,WET,-1.669590554,393.0995483,-4.51902914,7,-1004,-1004,0.000455633,3.43E-06,0.030451168,0.000480101,10.505256,0.261824,-25.67800772,-9.991217041,0.004864591,-0.005718655,-0.000227328,0.016142116,-5.088555027,-16.19701919,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Atq,200410,70.4696,-157.4089,10.006676,0.992608,1.105398,11.112074,WET,9.052554826,376.181427,-19.42878342,10,-910.5,-571,-0.003782533,1.50E-05,0.018560027,0.001152948,52.84930836,0.805144,-6.193978537,1.545144653,-0.005696911,-0.006909597,-0.000767276,0.013717226,-0.875255477,3.605564934,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201411,68.6058,-149.311,34.0095,0.936806,-1.685889,32.6127,WET,-20.1730363,397.7134399,0.094862618,7,-848,-848,0.001353488,9.52E-06,0.008270506,0.000338376,12.500252,0.346052,-16.4581835,-1.961981201,-0.017316071,-0.044442045,0.000670528,0.011629515,4.131269192,-7.526512069,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201410,68.6058,-149.311,26.893213,0.876344,-4.630067,22.191474,WET,-5.808385278,396.5045166,0.87304306,7,-843,-843,0.00058507,3.96E-06,0.058113987,0.00092791,82.35167332,0.714584,-13.15141185,-1.998831177,0.021348394,0.005401435,1.93E-05,0.010861097,-1.617416151,-4.219740417,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201711,68.6058,-149.311,12.7131,0.9875,-4.30032,9.25629,WET,-2.956314879,405.0574646,7.438887119,7,-812,-812,0.000579451,5.10E-06,0.068495205,0.000825256,8.92584,0.329788,-16.84060042,-1.847021484,0.042908628,0.014225838,-0.000103509,0.015790718,3.748852276,-8.716300574,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,200911,68.6058,-149.311,17.79763693,0.913888889,10.4468,28.2444,WET,1.703644842,388.3153992,-9.303177834,7,-797,-797,0.000627037,3.70E-06,0.0068332,0.000155479,11.378836,0.324572,-25.61417605,-9.34468689,-0.018753377,-0.03636081,-5.59E-05,0.013155605,-5.024723359,-15.38536473,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201305,68.6058,-149.311,21.023301,0.702957,3.646034,24.665522,WET,5.766073767,399.7764282,-0.313878387,7,-773.5,-745,-0.002287494,3.84E-06,0.026939181,0.000748511,749.547724,2.698312,-7.644811417,9.16578064,-0.009588617,-0.024322911,0.007278539,0.008208086,-5.828923054,2.757390401,10,16,2.713999987,6.699999809,53,31,1.5
FLX_DK-NuF,200810,64.1308,-51.3861,6.604209,0.985215,1.5381518,8.142367,WET,4.293600281,384.7346497,-10.6094656,10,-760,-274,-0.002699825,7.09E-05,0.175973368,0.003918961,114.9591059,1.26164,-4.602536142,9.232858276,0.092391526,0.084889928,0.001310173,0.012239664,-0.990059625,-0.014778251,107,10,0.605000019,7.699999809,69,21,0.74000001
AMF_US-ICs,201011,68.6058,-149.311,13.67396396,0.984027778,-3.2847,10.3893,WET,-4.162926282,390.6887817,-6.929795742,7,-737,-737,0.000104235,5.39E-06,0.055451881,0.000620477,9.62032,0.287724,-16.52449572,-2.958944702,0.029865304,0.011777334,-0.000578725,0.017429964,4.064956974,-7.557251366,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Ivo,200602,68.4865,-155.7503,13.60758,0.898065,-4.881408,8.540812,WET,-2.787634224,384.655365,-13.59448528,7,-728.5,-533,-0.000215923,1.29E-05,0.019616869,0.000417985,53.406348,0.735318,-18.79441159,-1.571737671,0.0022952,-0.018736404,-0.000354593,0.013981521,4.501727432,-9.050606935,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201602,68.6058,-149.311,20.465561,0.880747,-0.7121443,19.756308,WET,-28.73794117,403.5810852,5.324775696,7,-705.5,-503,0.00097726,6.00E-06,0.001918413,5.27E-05,54.759714,0.746464,-19.33882802,-7.40843811,-0.015116619,-0.047039866,0.000458462,0.015098164,3.539092626,-11.08437738,10,16,2.713999987,6.699999809,53,31,1.5
FLX_US-Atq,200505,70.4696,-157.4089,13.072359,0.948253,-7.30949,5.762838,WET,-1.788409178,383.5388489,-16.58094025,10,-695,-616,-0.015208771,9.85E-06,0.035366155,0.000792243,455.516546,2.438864,-3.357730078,2.975915527,0.016037568,0.014126508,0.006331086,0.000280929,-0.881180558,5.925582494,157,18,6.504000187,6.599999905,44,38,6.829999924
AMF_US-ICs,201511,68.6058,-149.311,25.74804,0.845139,-3.86274,21.38943,WET,-6.665745041,400.9622498,3.343672514,7,-682,-682,0.00100513,6.61E-06,0.017333331,0.000282258,10.116584,0.257532,-19.52845211,-8.895346069,-0.008253246,-0.024263892,0.000322169,0.014369831,1.061000582,-10.53523248,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICs,201805,68.6058,-149.311,9.86754615,1,16.4403,26.3079,WET,0.60020475,409.6097412,9.519434929,7,-655,-519,-0.005097598,5.96E-06,0.029461542,0.00063853,640.616742,2.53194,-1.249583082,9.263757324,-0.007066256,-0.029124826,0.004468435,0.005386656,0.56630528,7.199870468,10,16,2.713999987,6.699999809,53,31,1.5
