NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
AMF_US-Rpf,201501,65.1198,-147.429,17.21518871,0.704301075,-1.7157,15.4995,DBF,-10.03391543,400.2408752,2.845452547,8,-1167,-1167,-0.001542782,5.71E-06,0.008528671,0.000222815,16.345028,0.364194,-17.61125699,-3.646704102,-0.007667128,-0.034880232,-0.000422751,0.028981809,1.533030194,-16.07618998,140,14,2.572999954,6.199999809,40,46,1.909999967
AMF_US-Rpf,201401,65.1198,-147.429,10.47645877,1,0.023798,10.5003,DBF,440.2243368,398.4303894,1.034966826,8,-1062,-1062,-0.000667283,1.05E-05,0.020582688,0.00113614,14.9835,0.327582,-11.79329447,4.611474609,0.004386889,-0.027280976,0.000452748,0.029821276,7.350992717,-10.07250482,140,14,2.572999954,6.199999809,40,46,1.909999967
AMF_US-Rpf,201001,65.1198,-147.429,27.64954903,1,-2.5898,25.0598,DBF,-10.67632598,390.6530762,-6.742346287,8,-951,-951,-0.001910304,4.93E-06,0.002046039,0.000224236,17.210608,0.333638,-21.37664413,-8.625875854,-0.01414976,-0.031001861,-0.000790272,0.02761084,-2.232356941,-19.24150335,140,14,2.572999954,6.199999809,40,46,1.909999967
AMF_US-NGB,201705,71.28,-156.6092,-9.789149,0.997312,10.572767,0.8517002,SNO,-0.925883357,407.7479248,7.695262909,10,-910.5,-900,-0.020149311,1.38E-05,0.034016707,0.001439914,508.054282,2.490504,-3.461217134,2.593865967,0.016398575,0.00752313,0.001533767,-0.006128968,0.085886073,3.630136416,157,18,6.504000187,6.599999905,44,38,6.829999924
FLX_FI-Hyy,202012,61.8474,24.2948,28.772402,1,1.6050777,30.64629,ENF,17.92586241,417.0474548,17.46131897,1,-884,-884,-0.003895907,3.80E-05,0.076509607,0.001631618,6.866916,0.226104,-0.460597143,4.061410522,0.019134091,0.00981222,3.39E-05,0.032589345,3.128652263,-7.151277255,202,35,49.68000031,4.599999905,27,38,12.81999969
AMF_US-Rpf,200811,65.1198,-147.429,24.83062728,1,-0.77552,24.0551,DBF,-32.018036,386.9862366,-10.76998997,8,-849,-849,-0.001687687,9.98E-06,0.008448647,0.000155926,27.469604,0.544564,-15.93521686,-7.843084717,-0.01569263,-0.032701741,0.000316611,0.027043419,-1.862977665,-11.72485836,140,14,2.572999954,6.199999809,40,46,1.909999967
AMF_US-Rpf,201601,65.1198,-147.429,19.73651028,1,-0.45395,19.2826,DBF,-43.47727786,402.8695068,5.474084377,8,-794,-794,-0.00284109,9.50E-06,0.003504181,0.000283245,14.552496,0.356322,-12.84813025,1.214578247,-0.012691618,-0.048395091,-0.001721059,0.03031315,6.296156936,-12.41032843,140,14,2.572999954,6.199999809,40,46,1.909999967
AMF_US-NGB,201410,71.28,-156.6092,-3.663363,0.990591,5.664878,3.00142,SNO,-0.646679946,396.2979736,0.754301727,10,-749,-749,-0.010011796,1.43E-05,0.035283858,0.000363287,52.39158732,0.72036,-5.402719182,0.538781738,0.00302299,0.011439211,-0.002364387,0.003470608,-1.599347995,3.173078945,157,18,6.504000187,6.599999905,44,38,6.829999924
FLX_FI-Ken,201911,67.98723,24.24305,15.06465,0.813194,3.9306,18.19065,ENF,3.832659136,411.2789612,13.43956661,8,-743,-743,-0.000145114,1.39E-05,0.041434971,0.000832886,8.82754,0.2995,-8.795396826,0.672067261,-0.008203677,-0.019609776,0.001828747,0.026522386,-2.681826883,-8.390529198,202,35,49.68000031,4.599999905,27,38,12.81999969
FLX_FI-Sod,201301,67.3624,26.6386,10.67206,1,-4.972307,5.313462,ENF,-2.146299494,397.8161011,-0.113459267,9,-742,-742,0.000549972,2.00E-05,0.035923796,0.000577986,4.044648,0.144422,-9.739945229,-1.177236938,-0.005729194,-0.013047281,0.001765784,0.024693107,1.327199534,-11.22672038,118,6,7.217000008,4.699999809,54,40,4
