NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
AMF_US-ICt,201311,68.6063,-149.3041,8.13612,0.735417,-1.101072,6.16929,OSH,-7.389271546,396.5709839,-1.047593474,7,-918,-918,0.00056647,6.43E-06,0.04833975,0.000947267,10.290924,0.292152,-20.03028317,-4.813574219,0.022753173,-0.002922342,-0.000116491,0.011062049,0.559169527,-9.628081347,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICt,201411,68.6063,-149.3041,6.60336,0.875,-2.182521,4.91397,OSH,-3.02556539,397.7134399,0.094862618,7,-848,-848,0.001353488,9.52E-06,0.008270506,0.000338376,12.500252,0.346052,-16.4581835,-1.961981201,-0.017316071,-0.044442045,0.000670528,0.011629515,4.131269192,-7.526512069,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICt,201410,68.6063,-149.3041,20.34162213,0.999327957,0.051397,20.393,OSH,395.774503,396.5045166,0.87304306,7,-843,-843,0.00058507,3.96E-06,0.058113987,0.00092791,82.35167332,0.714584,-13.15141185,-1.998831177,0.021348394,0.005401435,1.93E-05,0.010861097,-1.617416151,-4.219740417,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICt,201711,68.6063,-149.3041,9.8502,0.999306,0.01232103,8.41812,OSH,799.4623826,405.0574646,7.438887119,7,-812,-812,0.000579451,5.10E-06,0.068495205,0.000825256,8.92584,0.329788,-16.84060042,-1.847021484,0.042908628,0.014225838,-0.000103509,0.015790718,3.748852276,-8.716300574,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICt,201305,68.6063,-149.3041,11.701973,0.825941,-3.488585,3.444441,OSH,-3.354360866,399.7764282,-0.313878387,7,-773.5,-745,-0.002287494,3.84E-06,0.026939181,0.000748511,749.547724,2.698312,-7.644811417,9.16578064,-0.009588617,-0.024322911,0.007278539,0.008208086,-5.828923054,2.757390401,10,16,2.713999987,6.699999809,53,31,1.5
AMF_CA-TVC,201711,68.7462,-133.5017,19.2858152,0.790277778,-7.9553,11.3305,OSH,-2.424272523,405.2832642,7.480393887,7,-717,-717,-8.73E-06,1.07E-05,0.015503353,0.000614904,7.707952,0.209326,-18.00081363,-1.761724854,-0.003985278,-0.015911176,-0.000311307,0.021626889,-0.113193238,-12.08172072,168,14,11.34200001,5.400000095,30,56,8.149999619
AMF_US-ICt,201602,68.6063,-149.3041,13.272024,0.782328,-0.69919,9.120935,OSH,-18.98199917,403.5810852,5.324775696,7,-705.5,-503,0.00097726,6.00E-06,0.001918413,5.27E-05,54.759714,0.746464,-19.33882802,-7.40843811,-0.015116619,-0.047039866,0.000458462,0.015098164,3.539092626,-11.08437738,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICt,201511,68.6063,-149.3041,26.85733431,1,-3.8489,23.0084,OSH,-6.977924683,400.9622498,3.343672514,7,-682,-682,0.00100513,6.61E-06,0.017333331,0.000282258,10.116584,0.257532,-19.52845211,-8.895346069,-0.008253246,-0.024263892,0.000322169,0.014369831,1.061000582,-10.53523248,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICt,201805,68.6063,-149.3041,9.251826518,1,1.2087,10.4605,OSH,7.654361312,409.6097412,9.519434929,7,-655,-519,-0.005097598,5.96E-06,0.029461542,0.00063853,640.616742,2.53194,-1.249583082,9.263757324,-0.007066256,-0.029124826,0.004468435,0.005386656,0.56630528,7.199870468,10,16,2.713999987,6.699999809,53,31,1.5
AMF_US-ICt,201402,68.6063,-149.3041,35.30146457,0.945684524,-25.4895,9.8122,OSH,-1.384941429,399.2455444,0.989234924,7,-651.5,-324,0.000306835,6.39E-06,0.026903325,0.000974074,58.951192,0.818574,-24.01805153,-8.072439575,0.009868293,-0.025809226,-0.000211962,0.010582862,-1.140130884,-15.0863801,10,16,2.713999987,6.699999809,53,31,1.5
